CustomerID,Recommendations
C0001,"[('C0133', 0.9974607660420521), ('C0181', 0.9973975799930748), ('C0036', 0.9965035314095834)]"
C0002,"[('C0159', 0.9932048384767453), ('C0106', 0.9899614701061201), ('C0043', 0.989798720625137)]"
C0003,"[('C0195', 0.9930691677756173), ('C0031', 0.9925501706921074), ('C0052', 0.9922567881335245)]"
C0004,"[('C0113', 0.9985136159273684), ('C0034', 0.9965553208652979), ('C0169', 0.993232721518654)]"
C0005,"[('C0140', 0.9966216148989523), ('C0043', 0.9962869732410298), ('C0159', 0.994984276012964)]"
C0006,"[('C0107', 0.9969851784764157), ('C0168', 0.9950134262209704), ('C0137', 0.9945859722949066)]"
C0007,"[('C0005', 0.9946349085887508), ('C0043', 0.9930074867812995), ('C0146', 0.9921240222726466)]"
C0008,"[('C0163', 0.9878869379436306), ('C0160', 0.987507115166816), ('C0194', 0.9871155541212915)]"
C0009,"[('C0198', 0.9854201572516261), ('C0103', 0.9779388828190507), ('C0015', 0.9735424896253349)]"
C0010,"[('C0018', 0.985662565490582), ('C0034', 0.9853836579799254), ('C0008', 0.9841075988739045)]"
C0011,"[('C0126', 0.9978980063934004), ('C0191', 0.9959279157457976), ('C0006', 0.9930969031490429)]"
C0012,"[('C0148', 0.99846918843621), ('C0039', 0.9960754987663262), ('C0072', 0.9953397533893468)]"
C0013,"[('C0102', 0.9972161967549292), ('C0188', 0.9971804974590702), ('C0155', 0.9963031914299417)]"
C0014,"[('C0060', 0.9709846752640945), ('C0119', 0.9508909829455288), ('C0097', 0.9501736817222421)]"
C0015,"[('C0020', 0.9835312745633998), ('C0131', 0.9809171592106145), ('C0050', 0.9792291693675051)]"
C0016,"[('C0185', 0.9981820783844191), ('C0050', 0.9957459049190623), ('C0125', 0.9929634881499106)]"
C0017,"[('C0041', 0.9944071755254361), ('C0124', 0.9921862938629056), ('C0075', 0.9911830995679008)]"
C0018,"[('C0046', 0.9977909370979623), ('C0122', 0.9968147098633723), ('C0104', 0.9963221758826112)]"
C0019,"[('C0070', 0.9888658798824873), ('C0073', 0.988064504257594), ('C0135', 0.9841003620530069)]"
C0020,"[('C0015', 0.9835312745633998), ('C0198', 0.9831661883967785), ('C0130', 0.9777210258569767)]"
